ticker,trailingPE,priceToBook,revenueGrowth,returnOnEquity,debtToEquity,trailingEps,marketCap,sector,shortName
IR,50.0,2.845716,0.076,0.057150003,48.353,1.48,28958924800.0,Industrials,Ingersoll Rand Inc.
PODD,34.976635,7.9602256,0.339,0.22997999,77.844,4.28,10368921600.0,Healthcare,Insulet Corporation
INTC,,5.6170807,0.072,-0.02911,36.028,-0.6,626088804352.0,Technology,Intel Corporation
ICE,20.455605,2.6982968,0.204,0.13853,70.986,6.87,79471468544.0,Financial Services,Intercontinental Exchange Inc.
IFF,24.232197,1.4146289,-0.036,0.060510002,45.701,3.23,19982602240.0,Basic Materials,International Flavors & Fragran
IP,,1.29241,0.134,-0.16036,65.904,-5.19,19142039552.0,Consumer Cyclical,International Paper Company
IPG,,,,,,,,,
INTU,16.894384,3.6791866,0.104,0.22496,33.448,16.38,75695898624.0,Technology,Intuit Inc.
ISRG,50.007298,8.336747,0.23,0.17232999,,8.22,145582178304.0,Healthcare,"Intuitive Surgical, Inc."
IVZ,,1.3156219,0.141,-0.01535,14.829,-1.47,12820139008.0,Financial Services,Invesco Ltd
INVH,31.242105,1.9392356,0.092,0.061929997,97.038,0.95,17631166464.0,Real Estate,Invitation Homes Inc.
IQV,22.513647,4.8682733,0.084,0.22490999,255.426,8.06,30285674496.0,Healthcare,"IQVIA Holdings, Inc."
IRM,138.30434,-31.155727,0.216,,,0.92,37857038336.0,Real Estate,Iron Mountain Incorporated (Del
JBHT,44.862015,7.591363,0.046,0.16676001,43.622,6.45,27286415360.0,Industrials,"J.B. Hunt Transport Services, I"
JBL,51.792736,30.2984,0.231,0.59696996,328.91,7.43,40599519232.0,Technology,Jabil Inc.
JKHY,17.88424,4.2773275,0.087,0.24892001,6.398,7.17,9110841344.0,Technology,"Jack Henry & Associates, Inc."
J,37.463127,4.5585065,0.27,0.09380999,138.776,3.39,14996272128.0,Industrials,Jacobs Solutions Inc.
JNJ,27.943155,7.140062,0.099,0.26416,67.73,8.62,579826352128.0,Healthcare,Johnson & Johnson
JCI,44.195126,6.5426974,0.082,0.13449,70.317,3.28,88442355712.0,Industrials,Johnson Controls International 
JPM,15.360154,2.498228,0.127,0.16465001,,20.88,859372847104.0,Financial Services,JP Morgan Chase & Co.
JNPR,,,,,,,,,
K,,,,,,,,,
KVUE,21.595238,3.2832577,0.045,0.15701,82.975,0.84,34828955648.0,Consumer Defensive,Kenvue Inc.
KDP,23.488888,1.7077767,0.094,0.06312,85.985,1.35,43143340032.0,Consumer Defensive,Keurig Dr Pepper Inc.
KEY,13.926381,1.4114282,0.118,0.09977,,1.63,24501669888.0,Financial Services,KeyCorp
KEYS,56.4686,9.471681,0.315,0.18174,43.642,6.21,59927879680.0,Technology,Keysight Technologies Inc.
KMB,19.7853,18.904085,0.027,1.11727,371.264,5.17,33954179072.0,Consumer Defensive,Kimberly-Clark Corporation
KIM,29.781609,1.6819215,0.04,0.058579996,78.788,0.87,17473437696.0,Real Estate,Kimco Realty Corporation (HC)
KMI,21.436241,2.268627,0.138,0.10597,98.84,1.49,71060938752.0,Energy,"Kinder Morgan, Inc."
KLAC,71.90395,5.706407,0.115,0.94975996,105.4,3.54,332499288064.0,Technology,KLA Corporation
KHC,,0.6899966,0.008,-0.12576,50.258,-4.86,28921116672.0,Consumer Defensive,The Kraft Heinz Company
KR,42.01948,6.9941635,0.012,0.14405,415.97,1.54,39897640960.0,Consumer Defensive,Kroger Company (The)
LHX,33.455437,2.9946198,1.9,,34.574,9.2,57339723776.0,Industrials,"L3Harris Technologies, Inc."
LH,23.574846,2.5095704,0.058,0.11047,83.407,11.29,21825120256.0,Healthcare,Labcorp Holdings Inc.
LRCX,69.47159,43.337666,0.238,0.66762,35.282,5.28,458721951744.0,Technology,Lam Research Corporation
LW,21.305164,3.451738,0.029,0.17355,220.065,2.13,6265743872.0,Consumer Defensive,"Lamb Weston Holdings, Inc."
LVS,18.697416,28.04095,0.253,0.90455,981.405,2.71,33575831552.0,Consumer Cyclical,Las Vegas Sands Corp.
LDOS,11.1765785,3.065188,0.037,0.30579,137.125,10.93,15365952512.0,Technology,"Leidos Holdings, Inc."
LEN,14.153605,1.0165142,-0.052,0.07368,28.481,6.38,22240737280.0,Consumer Cyclical,Lennar Corporation
LIN,34.719498,6.2802277,0.082,0.18229,65.642,15.08,242071175168.0,Basic Materials,Linde plc
LYV,,-285.61258,0.122,0.14927,738.269,-1.78,40145285120.0,Communication Services,"Live Nation Entertainment, Inc."
LKQ,13.1,1.0340608,0.043,0.08139,80.678,2.0,6675520000.0,Consumer Cyclical,LKQ Corporation
LMT,26.178782,16.594393,0.003,0.6764,276.365,20.64,124580446208.0,Industrials,Lockheed Martin Corporation
L,13.755725,1.1894652,0.014,0.09217,45.603,7.86,22247731200.0,Financial Services,Loews Corporation
LOW,18.662722,-13.361172,0.103,,,11.83,123857575936.0,Consumer Cyclical,"Lowe's Companies, Inc."
LULU,9.617003,2.7885518,0.043,0.32027,44.264,12.35,13486798848.0,Consumer Cyclical,lululemon athletica inc.
LYB,,2.0761268,-0.063,-0.060089998,141.24,-2.12,20845441024.0,Basic Materials,LyondellBasell Industries NV
MTB,13.019652,1.3339393,0.057,0.102910005,,17.81,33957681152.0,Financial Services,M&T Bank Corporation
MRO,,,,,,,,,
MPC,17.363636,4.6098957,0.088,0.27458,146.523,15.18,76948652032.0,Energy,Marathon Petroleum Corporation
MKTX,14.323461,3.6095185,0.119,0.24298,24.251,8.44,4296364544.0,Financial Services,"MarketAxess Holdings, Inc."
MAR,42.19497,-26.039202,0.126,,,9.54,106145218560.0,Consumer Cyclical,Marriott International
MMC,,,,,,,,,
MLM,36.241684,3.0691738,0.172,0.0947,50.35,15.93,34666299392.0,Basic Materials,"Martin Marietta Materials, Inc."
MAS,18.324257,-61.69166,0.065,84.57143,12229.63,4.04,14934400000.0,Industrials,Masco Corporation
MA,28.322546,64.67529,0.158,2.32076,282.059,17.3,432938450944.0,Financial Services,Mastercard Incorporated
MTCH,13.316794,-37.395496,0.039,,,2.62,8138669056.0,Communication Services,"Match Group, Inc."
MKC,8.0245905,1.8844318,0.167,0.25347,65.158,6.1,13159874560.0,Consumer Defensive,"McCormick & Company, Incorporat"
MCD,23.479801,-157.35359,0.094,,,12.13,202359177216.0,Consumer Cyclical,McDonald's Corporation
MCK,20.407341,-43.317677,0.06,,,38.42,94245986304.0,Healthcare,McKesson Corporation
MDT,21.501339,2.1011815,0.099,0.09929,57.06,3.73,102967566336.0,Healthcare,Medtronic plc.
MRK,33.535213,6.4088073,0.049,0.18944,106.936,3.55,294032605184.0,Healthcare,"Merck & Company, Inc."
META,20.617455,5.905242,0.331,0.32930002,35.608,27.5,1439235178496.0,Communication Services,"Meta Platforms, Inc."
MET,17.183752,2.1004348,0.027,0.13014,178.019,5.17,57162924032.0,Financial Services,"MetLife, Inc."
MTD,26.598259,-545.8225,0.072,,,42.54,22864697344.0,Healthcare,"Mettler-Toledo International, I"
MGM,67.08219,5.1487756,0.042,0.13488,951.186,0.73,12529035264.0,Consumer Cyclical,MGM Resorts International
MCHP,432.9091,8.026294,0.351,0.03405,87.715,0.22,51627630592.0,Technology,Microchip Technology Incorporat
MU,46.302357,15.281069,1.963,0.39823002,14.902,21.2,1106994921472.0,Technology,"Micron Technology, Inc."
MSFT,23.258333,7.0053964,0.183,0.34013999,30.271,16.8,2902586556416.0,Technology,Microsoft Corporation
MAA,41.97281,2.9175327,0.008,0.06711,99.825,3.31,16578049024.0,Real Estate,Mid-America Apartment Communiti
MRNA,,2.6747053,2.602,-0.36556998,17.522,-8.14,19803602944.0,Healthcare,"Moderna, Inc."
MHK,16.113773,0.78523487,0.08,0.051030003,30.114,6.68,6560996352.0,Consumer Cyclical,"Mohawk Industries, Inc."
MOH,53.69437,2.5525732,-0.043,0.04482,96.74,3.73,10434587648.0,Healthcare,Molina Healthcare Inc
TAP,,0.7754859,0.02,-0.18080999,62.567,-10.55,7798385664.0,Consumer Defensive,Molson Coors Beverage Company
MDLZ,31.18317,3.14008,0.082,0.101610005,83.793,2.02,80857104384.0,Consumer Defensive,"Mondelez International, Inc."
MPWR,112.34473,21.072517,0.261,0.19574,0.543,14.04,77493731328.0,Technology,"Monolithic Power Systems, Inc."
MNST,44.845413,10.402287,0.269,0.26654,1.082,2.07,90788495360.0,Consumer Defensive,Monster Beverage Corporation
MCO,32.150036,26.128939,0.081,0.71361,235.539,13.93,78228840448.0,Financial Services,Moody's Corporation
MS,19.38768,3.2343073,0.163,0.16388,502.246,11.04,337602052096.0,Financial Services,Morgan Stanley
MOS,162.07143,0.610981,0.144,0.0059399996,48.19,0.14,7211940864.0,Basic Materials,Mosaic Company (The)
MSI,33.219177,26.932123,0.074,0.99289,374.132,12.41,68431679488.0,Technology,"Motorola Solutions, Inc."
MSCI,34.255005,-15.744356,0.141,,,17.49,43572555776.0,Financial Services,MSCI Inc.
NDAQ,26.801207,4.1760926,0.137,0.162,79.058,3.32,50321821696.0,Financial Services,"Nasdaq, Inc."
NTAP,25.450394,23.445524,0.125,1.06734,202.295,6.35,31662618624.0,Technology,"NetApp, Inc."
NFLX,25.916128,10.872919,0.162,0.48494998,53.788,3.1,338295554048.0,Communication Services,"Netflix, Inc."
NEM,13.0,3.0792627,0.458,0.25832,15.762,7.71,107000815616.0,Basic Materials,Newmont Corporation
NWSA,32.50633,1.6460484,0.088,0.06524,31.559,0.79,13984890880.0,Communication Services,News Corporation
NWS,37.037975,1.8755208,0.088,0.06524,31.559,0.79,15934497792.0,Communication Services,News Corporation
NEE,21.824873,3.2472336,0.073,0.10325,156.686,3.94,179341197312.0,Utilities,"NextEra Energy, Inc."
NKE,29.559212,4.7195377,0.001,0.16016,79.333,1.52,66536255488.0,Consumer Cyclical,"Nike, Inc."
NI,23.487562,2.3431604,0.082,0.091120005,140.908,2.01,22634326016.0,Utilities,NiSource Inc
NDSN,30.758804,5.0147896,0.085,0.1714,61.637,9.37,16058469376.0,Industrials,Nordson Corporation
NSC,26.445662,4.46104,0.002,0.17615,111.586,11.87,70502301696.0,Industrials,Norfolk Southern Corporation
NTRS,18.255497,2.6656675,0.139,0.14462,,9.55,32261138432.0,Financial Services,Northern Trust Corporation
NOC,17.240915,4.5670543,0.044,0.28511998,102.682,31.92,78165286912.0,Industrials,Northrop Grumman Corporation
NCLH,15.669355,3.6688068,0.096,0.29533002,661.444,1.24,8920510464.0,Consumer Cyclical,Norwegian Cruise Line Holdings 
NRG,136.38043,6.3199515,0.195,0.062480003,479.237,0.92,26472472576.0,Utilities,"NRG Energy, Inc."
NUE,26.449852,2.827525,0.213,0.12285,31.595,10.07,60658802688.0,Basic Materials,Nucor Corporation
NVDA,31.422665,25.426271,0.852,1.14288,6.555,6.53,4969906831360.0,Technology,NVIDIA Corporation
NVR,15.5763445,4.984269,-0.214,0.33257,31.22,409.27,17207797760.0,Consumer Cyclical,"NVR, Inc."
NXPI,29.145313,7.048134,0.122,0.25812998,103.991,10.46,76968329216.0,Technology,NXP Semiconductors N.V.
ORLY,29.648209,-70.99844,0.102,,,3.07,75429642240.0,Consumer Cyclical,"O'Reilly Automotive, Inc."
OXY,76.4054,1.8287674,-0.083,0.04053,41.989,0.74,56236646400.0,Energy,Occidental Petroleum Corporatio
ODFL,51.304802,11.625981,-0.029,0.23331,0.909,4.79,51108208640.0,Industrials,"Old Dominion Freight Line, Inc."
OMC,,2.3157768,0.692,0.02015,110.574,-0.37,21854275584.0,Communication Services,Omnicom Group Inc.
ON,86.51111,6.267912,0.047,0.074939996,44.337,1.35,45408325632.0,Technology,ON Semiconductor Corporation
OKE,16.14795,2.5528376,0.196,0.15903,149.644,5.61,57074671616.0,Energy,"ONEOK, Inc."
ORCL,31.52911,15.783473,0.206,0.53376,362.758,5.84,529566367744.0,Technology,Oracle Corporation
OTIS,18.81649,-4.8044276,0.064,,,3.76,27147911168.0,Industrials,Otis Worldwide Corporation
PCAR,25.16348,3.1569974,-0.089,0.13108,76.163,4.71,62375444480.0,Industrials,PACCAR Inc.
PKG,27.697815,4.404964,0.106,0.16313,95.185,8.24,20334983168.0,Consumer Cyclical,Packaging Corporation of Americ
PANW,243.14783,8.216384,0.311,0.048309997,7.698,1.15,227890298880.0,Technology,"Palo Alto Networks, Inc."
PH,33.338745,7.7976956,0.106,0.24841999,65.554,27.1,113916534784.0,Industrials,Parker-Hannifin Corporation
PAYX,22.214127,8.983217,0.199,,124.91,4.53,36054810624.0,Technology,"Paychex, Inc."
PAYC,15.569445,7.545858,0.078,0.37147,94.074,8.64,6272276992.0,Technology,"Paycom Software, Inc."
PYPL,7.7917447,1.8500534,0.072,0.25120002,58.28,5.33,36633837568.0,Financial Services,"PayPal Holdings, Inc."
PNR,18.542715,3.1301694,0.026,0.1761,54.634,3.98,11926489088.0,Industrials,Pentair plc.
PEP,22.612852,9.229736,0.085,0.43879002,244.837,6.38,197208571904.0,Consumer Defensive,"Pepsico, Inc."
PFE,20.007633,1.6578114,0.054,0.083100006,71.602,1.31,149382430720.0,Healthcare,"Pfizer, Inc."
PCG,13.139536,1.1786386,0.15,0.08826999,187.872,1.29,37327708160.0,Utilities,Pacific Gas & Electric Co.
PM,25.957747,-30.953981,0.091,,,7.1,287242387456.0,Consumer Defensive,Philip Morris International Inc
PSX,17.732214,2.5219946,0.069,0.14547,91.385,10.12,71947788288.0,Energy,Phillips 66
PNW,19.298508,1.7735106,0.114,0.09559,212.957,5.36,12535601152.0,Utilities,Pinnacle West Capital Corporati
PXD,,,,,,,,,
PNC,13.809414,1.5017251,0.138,0.12104,,17.21,95435849728.0,Financial Services,"PNC Financial Services Group, I"
POOL,17.922794,6.270903,0.062,0.34241,140.423,10.88,7106385920.0,Industrials,Pool Corporation
PPG,17.09742,3.282449,0.067,0.20748,93.736,6.98,26600884224.0,Basic Materials,"PPG Industries, Inc."
PPL,21.993864,1.7954625,0.108,0.08316,135.116,1.63,26971758592.0,Utilities,PPL Corporation
PFG,15.941894,2.0355577,-0.045,0.13385999,33.624,6.97,24002215936.0,Financial Services,Principal Financial Group Inc
PG,21.872807,6.481955,0.074,0.31112,67.651,6.84,348381708288.0,Consumer Defensive,Procter & Gamble Company (The)
PGR,10.331129,3.7022657,0.087,0.37903,26.174,19.66,118514688000.0,Financial Services,Progressive Corporation (The)
PLD,37.2782,2.5948606,0.083,0.06844,60.934,3.99,139375919104.0,Real Estate,"Prologis, Inc."
PRU,11.174047,1.1785665,0.153,0.10711,158.972,9.71,37684776960.0,Financial Services,"Prudential Financial, Inc."
PEG,17.632742,2.2938552,0.194,0.13441,141.01,4.52,39716212736.0,Utilities,Public Service Enterprise Group
PTC,10.920269,3.4016578,0.217,0.344,35.78,10.41,13130698752.0,Technology,PTC Inc.
PSA,33.671486,11.738395,0.032,0.20175,107.646,9.68,57217380352.0,Real Estate,Public Storage
PHM,11.923524,1.8138843,-0.124,0.16178,18.942,10.33,23462203392.0,Consumer Cyclical,"PulteGroup, Inc."
QRVO,27.234806,2.5865777,-0.07,0.10064,48.029,3.62,8677267456.0,Technology,"Qorvo, Inc."
PWR,97.08368,11.742044,0.263,0.13534,69.121,7.29,106203561984.0,Industrials,"Quanta Services, Inc."
QCOM,22.790096,8.219583,-0.035,0.36083,55.979,9.29,223152881664.0,Technology,QUALCOMM Incorporated
DGX,22.412802,3.0599759,0.092,0.14538999,82.737,9.06,22478016512.0,Healthcare,Quest Diagnostics Incorporated
RL,26.735937,8.475758,0.166,0.34664002,105.913,15.11,24043413504.0,Consumer Cyclical,Ralph Lauren Corporation
RJF,14.579791,2.3914254,0.131,0.17289,48.477,10.59,30089940992.0,Financial Services,"Raymond James Financial, Inc."
RTX,34.49812,3.728996,0.087,0.11571,57.229,5.32,247156801536.0,Industrials,RTX Corporation
O,51.409836,1.4939737,0.12,0.02831,73.467,1.22,58485932032.0,Real Estate,Realty Income Corporation
REG,27.587627,2.1983078,0.1,0.08003,73.218,2.91,15007139840.0,Real Estate,Regency Centers Corporation
REGN,14.948474,1.9853725,0.19,0.14548,8.612,40.95,64176164864.0,Healthcare,"Regeneron Pharmaceuticals, Inc."
RF,12.145228,1.43382,0.073,0.11895,,2.41,24978419712.0,Financial Services,Regions Financial Corporation
RSG,30.116213,5.396699,0.026,0.18346001,117.578,6.97,64581771264.0,Industrials,"Republic Services, Inc."
RMD,18.801159,4.3517504,0.108,0.25246,12.988,10.36,28254083072.0,Healthcare,ResMed Inc.
RVTY,47.913464,1.5488384,0.07,0.03227,46.642,2.08,11118047232.0,Healthcare,"Revvity, Inc."
ROK,47.600002,14.512195,0.119,0.27183,113.367,9.65,51112574976.0,Industrials,"Rockwell Automation, Inc."
ROL,43.293575,16.52311,0.102,0.38671002,77.235,1.09,22720268288.0,Consumer Cyclical,"Rollins, Inc."
ROP,20.922548,1.8227675,0.113,0.09012,55.606,16.01,33804288000.0,Technology,"Roper Technologies, Inc."
ROST,33.537712,12.226579,0.206,0.38981998,74.911,7.16,77029163008.0,Consumer Cyclical,"Ross Stores, Inc."
RCL,17.95,8.048007,0.113,0.49576,217.312,16.4,78951235584.0,Consumer Cyclical,Royal Caribbean Cruises Ltd.
SPGI,26.530083,3.9777236,0.104,0.13939999,38.392,15.79,123997364224.0,Financial Services,S&P Global Inc.
CRM,19.222479,3.9685655,0.133,0.16908,124.282,8.63,135863910400.0,Technology,"Salesforce, Inc."
SBAC,21.55684,-4.571205,0.059,,,9.5,21720643584.0,Real Estate,SBA Communications Corporation
SLB,24.7489,3.2086353,0.027,0.14066,42.515,2.27,83992338432.0,Energy,SLB Limited
STX,88.50189,190.78688,0.441,17.8797,381.553,10.52,208766156800.0,Technology,Seagate Technology Holdings PLC
SRE,31.391155,1.9067,-0.039,0.05689,85.267,2.94,60330655744.0,Utilities,DBA Sempra
NOW,60.803574,8.982589,0.221,0.1607,20.728,1.68,105348120576.0,Technology,"ServiceNow, Inc."
SHW,30.480307,17.55852,0.068,0.60723,329.521,10.41,78257479680.0,Basic Materials,Sherwin-Williams Company (The)
SPG,15.221681,14.742227,0.193,1.1359,457.473,14.39,83230736384.0,Real Estate,"Simon Property Group, Inc."
SWKS,30.820833,1.9295181,-0.01,0.06171,20.632,2.4,11125529600.0,Technology,"Skyworks Solutions, Inc."
SJM,,2.373762,0.058,-0.02386,128.609,-11.79,12423462912.0,Consumer Defensive,The J.M. Smucker Company
SNA,20.00413,3.3684835,0.052,0.18202,21.731,19.37,20072206336.0,Industrials,Snap-On Incorporated
SO,24.04092,2.8545399,0.08,0.109910004,190.431,3.91,105966305280.0,Utilities,Southern Company (The)
LUV,30.313334,3.2326179,0.128,0.10062,93.033,1.5,22224541696.0,Industrials,Southwest Airlines Company
SWK,34.270493,1.4479654,0.027,0.04165,77.606,2.44,12999194624.0,Industrials,"Stanley Black & Decker, Inc."
SBUX,78.656494,-13.869969,0.088,,,1.31,117434687488.0,Consumer Cyclical,Starbucks Corporation
STT,17.001015,1.9266044,-0.028,0.11261,,9.86,46394462208.0,Financial Services,State Street Corporation
STLD,30.30654,4.5754786,0.191,0.15247,45.994,9.33,40777609216.0,Basic Materials,"Steel Dynamics, Inc."
STE,26.174023,2.825791,0.073,0.11368,28.999,7.93,20228315136.0,Healthcare,STERIS plc (Ireland)
SYK,36.092487,5.326373,0.026,0.152,66.295,8.65,119685234688.0,Healthcare,Stryker Corporation
SYF,7.594203,1.6206067,0.061,0.2178,,9.66,24676120576.0,Financial Services,Synchrony Financial
SNPS,104.10321,2.85105,0.419,0.03824,35.574,4.36,86910558208.0,Technology,"Synopsys, Inc."
SYY,21.997223,16.612125,0.047,0.81894994,670.44,3.6,37867282432.0,Consumer Defensive,Sysco Corporation
TMUS,20.07431,3.674699,0.106,0.18024999,218.569,9.42,204644909056.0,Communication Services,"T-Mobile US, Inc."
TROW,11.763948,2.1859798,0.053,0.18688999,3.87,9.32,23492190208.0,Financial Services,"T. Rowe Price Group, Inc."
TTWO,,11.212603,0.061,-0.105579995,84.26,-1.63,39314915328.0,Communication Services,"Take-Two Interactive Software, "
TPR,45.08257,43.705902,0.212,0.60914004,574.912,3.27,29785432064.0,Consumer Cyclical,"Tapestry, Inc."
TRGP,27.84474,19.073608,-0.102,0.74097997,585.249,9.79,58511929344.0,Energy,"Targa Resources, Inc."
TGT,17.863935,3.7461908,0.067,0.22015,117.548,7.57,61420261376.0,Consumer Defensive,Target Corporation
TEL,21.511248,4.6441503,0.145,0.22719999,43.798,9.78,61409042432.0,Technology,TE Connectivity plc
TDY,31.745438,2.7499835,0.076,0.09049,23.133,19.72,29002967040.0,Technology,Teledyne Technologies Incorpora
TFX,1863.9999,1.8724797,0.323,0.00037999998,88.791,0.07,5776376832.0,Healthcare,Teleflex Incorporated
TER,74.666664,22.511307,0.87,0.2875,2.621,5.4,63117799424.0,Technology,"Teradyne, Inc."
TSLA,369.4818,18.56099,0.158,0.04901,18.738,1.1,1526438821888.0,Consumer Cyclical,"Tesla, Inc."
TXN,51.56164,16.332375,0.186,0.32347,83.741,5.84,274047139840.0,Technology,Texas Instruments Incorporated
TXT,17.713741,2.0166862,0.118,0.12254,52.674,5.24,16140375040.0,Industrials,Textron Inc.
TMO,25.773752,3.3062358,0.062,0.13523,82.903,18.21,174416822272.0,Healthcare,Thermo Fisher Scientific Inc
TJX,32.76459,18.29748,0.092,0.6125,136.307,5.14,186043269120.0,Consumer Cyclical,"TJX Companies, Inc. (The)"
TSCO,15.394089,6.3801556,0.036,0.45504,254.949,2.03,16389050368.0,Consumer Cyclical,Tractor Supply Company
TT,34.954235,11.7993145,0.06,0.36630002,53.597,13.11,101298667520.0,Industrials,Trane Technologies plc
TDG,39.2148,-7.641741,0.183,,,32.03,70255378432.0,Industrials,Transdigm Group Incorporated
TRV,9.082935,2.0236354,0.01,0.25272,28.975,33.52,64741797888.0,Financial Services,"The Travelers Companies, Inc."
TRMB,26.397905,2.0723386,0.118,0.08252,25.062,1.91,11753482240.0,Technology,Trimble Inc.
TFC,12.787128,1.082066,0.052,0.08579001,,4.04,64362123264.0,Financial Services,Truist Financial Corporation
TYL,41.333332,3.5649185,0.086,0.08930001,1.348,7.23,12294444032.0,Technology,"Tyler Technologies, Inc."
TSN,45.220474,1.1174022,0.044,0.02619,44.41,1.27,20222791680.0,Consumer Defensive,"Tyson Foods, Inc."
USB,12.356394,1.5701841,0.046,0.123500004,,4.77,91812708352.0,Financial Services,U.S. Bancorp
UDR,26.802721,3.9597993,0.042,0.123500004,142.368,1.47,14598317056.0,Real Estate,"UDR, Inc."
ULTA,17.544636,7.3688855,0.111,0.47449002,89.209,26.66,20107821056.0,Consumer Cyclical,"Ulta Beauty, Inc."
UNP,22.425987,8.33741,0.032,0.40686,162.246,12.16,161905606656.0,Industrials,Union Pacific Corporation
UAL,10.332736,2.3619373,0.106,0.25726998,195.081,11.18,37494292480.0,Industrials,"United Airlines Holdings, Inc."
UPS,17.491909,5.655836,-0.016,0.33353,181.508,6.18,91885674496.0,Industrials,"United Parcel Service, Inc."
URI,27.474169,7.5142174,0.072,0.28237,167.473,39.1,67297435648.0,Industrials,"United Rentals, Inc."
UNH,30.762049,3.7896807,0.02,0.121759996,73.982,13.28,370995134464.0,Healthcare,UnitedHealth Group Incorporated
UHS,6.1135697,1.1873946,0.096,0.21369,67.405,23.95,8863732736.0,Healthcare,"Universal Health Services, Inc."
VLO,18.908627,3.2592866,0.066,0.1585,42.664,13.68,76807602176.0,Energy,Valero Energy Corporation
VTR,153.81818,3.1332173,0.219,0.0214,93.736,0.55,41129959424.0,Real Estate,"Ventas, Inc."
VLTO,21.484535,6.813241,0.068,0.36463,95.542,3.88,20473155584.0,Industrials,Veralto Corp
VRSN,30.961285,-11.520004,0.066,,,9.04,25469990912.0,Technology,"VeriSign, Inc."
VRSK,28.018293,82.31079,0.039,,,6.56,24081815552.0,Industrials,"Verisk Analytics, Inc."
VZ,11.734147,1.9422688,0.029,0.17198,192.045,4.1,200886140928.0,Communication Services,Verizon Communications Inc.
VRTX,26.389381,5.84052,0.078,0.24197,10.26,16.86,112924377088.0,Healthcare,Vertex Pharmaceuticals Incorpor
VFC,27.5625,1.8658767,0.01,0.22092,269.388,0.64,6910817280.0,Consumer Cyclical,V.F. Corporation
VTRS,,1.2896158,0.081,-0.01957,99.675,-0.3,19191828480.0,Healthcare,Viatris Inc.
VICI,9.767123,1.0815731,0.035,0.11331,61.853,2.92,30709770240.0,Real Estate,VICI Properties Inc.
V,28.082754,17.293745,0.171,0.60349,67.233,11.48,613103173632.0,Financial Services,Visa Inc.
VMC,33.901775,4.388596,0.074,0.13458,61.249,8.45,37170884608.0,Basic Materials,Vulcan Materials Company (Holdi
WRK,,,,,,,,,
WAB,37.45763,4.060572,0.13,0.11305001,62.03,7.08,44998434816.0,Industrials,Westinghouse Air Brake Technolo
WBA,,,,,,,,,
WMT,42.61972,9.6824255,0.073,0.24132,74.816,2.84,963245899776.0,Consumer Defensive,Walmart Inc.
DIS,16.006401,1.6058558,0.065,0.1101,41.069,6.25,173720616960.0,Communication Services,Walt Disney Company (The)
WBD,,1.8628737,-0.01,-0.049590003,96.318,-0.7,67642548224.0,Communication Services,"Warner Bros. Discovery, Inc. - "
WM,31.758322,8.809361,0.035,0.29936,228.408,6.91,88125792256.0,Industrials,"Waste Management, Inc."
WAT,45.232822,8.266025,0.914,0.05212,36.634,7.86,34908016640.0,Healthcare,Waters Corporation
WEC,22.733469,2.7119942,0.09,0.11679,153.184,4.99,36950319104.0,Utilities,"WEC Energy Group, Inc."
WFC,12.941268,1.5740497,0.057,0.12028,,6.47,256229670912.0,Financial Services,Wells Fargo & Company
WELL,102.99519,3.5417528,0.383,0.03665,44.486,2.08,151228039168.0,Real Estate,Welltower Inc.
WST,44.077747,7.796007,0.21,0.19131,10.734,7.46,23230341120.0,Healthcare,"West Pharmaceutical Services, I"
WDC,33.667763,26.914892,0.455,0.85920995,17.81,16.72,194030190592.0,Technology,Western Digital Corporation
WY,44.375,1.8982508,-0.02,0.04161,57.729,0.56,17917908992.0,Real Estate,Weyerhaeuser Company
WHR,14.538982,0.73713154,-0.096,0.054840002,188.335,2.95,2780263680.0,Consumer Cyclical,Whirlpool Corporation
WMB,31.614037,6.8962884,0.09,0.19656,199.855,2.28,88153718784.0,Energy,"Williams Companies, Inc. (The)"
WTW,15.412559,3.1307592,0.085,0.20611,85.693,17.04,24804872192.0,Financial Services,Willis Towers Watson Public Lim
GWW,35.334854,15.812895,0.101,0.46129,64.034,37.24,62126329856.0,Industrials,"W.W. Grainger, Inc."
WYNN,30.73639,-39.906994,0.092,,,3.49,11133202432.0,Consumer Cyclical,"Wynn Resorts, Limited"
XEL,22.829971,2.0925012,0.029,0.0959,164.845,3.47,49454637056.0,Utilities,Xcel Energy Inc.
XYL,27.383085,2.3356674,0.027,0.08724,18.354,4.02,26165299200.0,Industrials,Xylem Inc.
YUM,24.88871,-5.83535,0.152,,,6.2,42531110912.0,Consumer Cyclical,"Yum! Brands, Inc."
ZBRA,27.620312,3.1571963,0.143,0.11781,82.104,8.27,10880418816.0,Technology,Zebra Technologies Corporation
ZBH,22.945597,1.3516153,0.093,0.060650002,59.827,3.86,17134971904.0,Healthcare,"Zimmer Biomet Holdings, Inc."
ZTS,13.044263,10.150529,0.029,0.67748,286.236,6.1,33357981696.0,Healthcare,Zoetis Inc.
